ms,ax,ay,az,gx,gy,gz,roll_x100,pitch_x100
4037, 454, -2832, 1970, 1121, 105, -111, -4036, -120
4047, 440, -2821, 2241, 1163, 83, -62, -3966, -114
4057, 473, -2921, 2307, 1225, 50, 7, -3894, -111
4067, 509, -2910, 2333, 1364, 60, 15, -3815, -108
4077, 523, -2730, 2364, 1729, 150, -56, -3711, -101
4087, 466, -2608, 2289, 1916, 202, -149, -3596, -89
4097, 469, -2727, 2312, 1863, 172, -169, -3489, -79
4107, 480, -2524, 2405, 1837, 111, -119, -3380, -73
4117, 501, -2516, 2391, 1889, 118, -53, -3270, -67
4127, 438, -2511, 2385, 1734, 64, 10, -3171, -63
4137, 685, -2070, 2703, 1617, 115, -2, -3066, -63
4147, 536, -1933, 2863, 1471, 82, 13, -2967, -61
4157, 555, -1853, 3112, 1389, 36, -24, -2870, -62
4167, 429, -2121, 2961, 925, 85, -1, -2812, -57
4177, 477, -2023, 2980, 933, 52, -36, -2751, -55
4187, 494, -1990, 2946, 1133, 78, -24, -2679, -52
4197, 455, -2025, 2955, 1148, 71, 7, -2609, -48
4207, 409, -1941, 3050, 1094, 84, 16, -2540, -42
4217, 444, -1810, 3141, 1181, 77, 28, -2463, -38
4227, 382, -1861, 3180, 1319, 180, -12, -2380, -26
4237, 417, -1855, 2898, 1465, 211, -112, -2292, -14
4247, 489, -1510, 3150, 1788, 238, -244, -2176, -2
4257, 432, -1573, 3183, 1865, 322, -240, -2058, 16
4267, 363, -1746, 2927, 1514, 276, -250, -1971, 33
4277, 375, -1622, 2813, 1378, 165, -266, -1892, 43
4287, 277, -1624, 2856, 1281, 187, -154, -1820, 57
4297, 337, -1636, 2913, 1142, 58, -49, -1758, 61
4307, 424, -1530, 3050, 1037, 1, 40, -1699, 58
4318, 478, -1404, 3182, 995, 35, 77, -1640, 57
4327, 442, -1365, 3328, 913, 52, 83, -1585, 58
4337, 508, -1259, 3205, 1030, 92, 1, -1522, 59
4347, 446, -1000, 3297, 1023, 81, -10, -1453, 61
4357, 398, -1208, 3258, 985, 113, -68, -1394, 67
4367, 382, -1101, 3098, 1127, 104, -111, -1325, 72
4377, 311, -1083, 3311, 997, 105, -127, -1264, 79
4387, 333, -1050, 3106, 1009, 76, -66, -1204, 83
4397, 313, -1189, 3124, 857, 35, 6, -1158, 86
4407, 375, -988, 3135, 680, -6, 74, -1118, 84
4417, 478, -777, 3292, 552, -8, 122, -1080, 80
4427, 480, -726, 3459, 623, 9, 41, -1037, 76
4437, 439, -556, 3410, 744, 62, -79, -983, 77
4447, 373, -805, 3417, 589, 54, -108, -946, 79
4457, 313, -781, 3357, 496, 66, -105, -914, 84
4467, 313, -843, 3256, 618, 69, -142, -879, 88
4477, 363, -832, 3326, 859, 79, -180, -828, 92
4487, 341, -932, 3120, 970, -11, -118, -776, 91
4497, 290, -918, 3127, 741, -19, -35, -738, 91
4507, 358, -892, 3102, 562, -56, 37, -711, 86
4517, 377, -650, 3154, 491, -96, 49, -683, 79
4527, 351, -740, 3270, 457, -100, 76, -658, 72
4537, 424, -723, 3252, 500, -69, 70, -632, 66
4547, 437, -748, 3185, 620, -93, 64, -599, 58
4557, 365, -786, 3224, 555, -97, 44, -572, 51
4567, 403, -597, 3340, 496, -71, 109, -544, 45
4577, 369, -670, 3340, 600, -72, 167, -512, 41
4587, 418, -696, 3344, 718, -68, 223, -474, 35
4597, 459, -655, 3507, 969, -32, 270, -419, 30
4607, 426, -659, 3354, 1204, -9, 314, -352, 28
4617, 498, -209, 3367, 814, -29, 340, -299, 23
4627, 523, 215, 3742, 527, -41, 246, -253, 17
4637, 382, -3, 3593, 333, -10, 135, -225, 16
4647, 355, -262, 3393, 251, -7, 86, -209, 16
4657, 302, -286, 3304, 168, -10, 82, -200, 18
4667, 288, -358, 3156, 94, -64, 104, -197, 16
4677, 324, -353, 3277, 74, -91, 118, -196, 12
4687, 381, -368, 3323, 198, -83, 106, -187, 7
4697, 362, -394, 3361, 359, -76, 97, -169, 3
4707, 387, -334, 3360, 465, -54, 125, -143, 0
4717, 608, -56, 3433, 454, 27, 144, -112, -4
4727, 386, -165, 3354, 280, -42, 84, -94, -6
4737, 349, -256, 3265, 126, -57, 70, -89, -8
4747, 315, -288, 3176, 124, -97, 53, -85, -12
4757, 359, -399, 3114, 121, -161, 87, -84, -21
4767, 348, -539, 3158, -112, -221, 149, -101, -32
4777, 458, -391, 3392, -171, -221, 203, -117, -47
